new_word
abashed
abiding
able
abrupt
absent-minded
absolute
absorbing
abstracted
abstruse
absurd
academic
accepted
accepting
accommodating
accomplished
accordant
accurate
accustomed
achiever
acquainted
acquiescent
acquisitive
active
actual
acute
adapted
addicted
adept
adequate
adjustable
admirable
adolescent
adorable
advancing
adventurer
adventuresome
adventurous
affable
affecting
affectionate
affluent
aflutter
afraid
aggressive
agile
agitated
agog
agreeable
agreeing
aimless
airy
alert
alive
all-around
allowing
alluring
aloof
alterable
altruistic
amateur
ambiguous
ambitious
ambrosial
amenable
amiable
amicable
amusing
analytical
anchored
angelic
angry
animated
answerable
antsy
anxious
apparent
appealing
appreciative
apprehensive
approachable
approving
apt
arbitrary
arch
ardent
aristocratic
arrogant
artful
articulate
artistic
aspiring
assertive
assiduous
assured
astir
astounding
astute
at-ease
athirst
attached
attentive
attracted
attractive
audacious
audible
august
austere
authentic
authoritative
autocratic
autonomous
avant-garde
averse
avid
awake
aware
awe-inspiring
backward
balanced
bald
bare
bashful
basic
bearable
beauteous
beautiful
beckoning
believable
believing
bellicose
benevolent
benign
bewitching
biddable
big
bizarre
bland
blithe
blunt
blurred
blushing
bodacious
boisterous
bold
bona-fide
bookworm
bottled-up
bouncy
bound
bounteous
bountiful
brainy
brassy
brave
breezy
brief
bright
brilliant
brisk
bullheaded
buoyant
businesslike
bustling
busy
buzzing
by-the-book
cagey
calculated
calculating
calm
candid
capable
captious
captivating
carefree
careful
careless
caring
carping
casual
cautious
celebrated
certain
certified
challenging
changeable
chaotic
charismatic
charitable
charming
chary
cheeky
cheerful
cheery
chic
childish
childlike
chilled
chipper
chirpy
chivalrous
chummy
circumspect
civil
civilized
classic
classy
clean
clear
clear-cut
clear-headed
clever
close
cloudy
clubby
clumsy
coadjuvant
cocky
coefficient
cogent
cognizant
coherent
cold
collaborative
collected
colorful
combative
comely
comfortable
comical
committed
common
commonsense
commonsensical
communal
communicative
compassionate
compelled
competent
complacent
complaisant
complementary
complete
complex
compliant
complicated
complimentary
composed
comprehensible
comprehensive
compulsive
concealed
conceited
concerned
conciliatory
conclusive
conducive
confident
confidential
confiding
conformable
confused
congenial
congruent
congruous
conscientious
conscionable
conscious
conservative
considerate
considered
consistent
conspicuous
constant
constrained
constructive
consumed
contained
contemplative
content
contented
contracted
controllable
controlled
conventional
conversant
convertible
convinced
convincing
convivial
cool
coolheaded
cool-headed
cooperative
coordinated
copious
cordial
correct
courageous
courteous
courtly
crafty
craving
crazy
creative
credible
creditable
crimeless
critic
critical
cultivated
cultured
cunning
curious
cute
cynical
dainty
dangerous
dapper
daredevil
daring
darling
dashing
dauntless
daydreamer
dazed
dazzling
dear
debonair
decent
decisive
decorated
dedicated
deep
deep-rooted
deferential
defined
definite
definitive
deft
delectable
deliberate
delicate
delightful
demanding
dependable
dependent
depressed
desirable
desiring
desperate
detached
detailed
determined
developed
devoted
dexterous
diagnostic
different
difficult
